Company,Product,Address
Education Counselor,"
                            S.D Miracle Educational Consultancy","Kathmandu, Nepal"
Radio Program Producer,"
                            Himal F.M","Salleri, Solukhumbu"
Clinical Research Fellow,"
                            Tilganga Institute of Opthalmology","Tilganga Institute of Ophthalmology, Kathmandu"
Research Trainee,"
                            Tilganga Institute of Opthalmology","Tilganga Institute of Ophthalmology, Kathmandu"
Company,product,Address
Education Counselor,"
                            S.D Miracle Educational Consultancy","Kathmandu, Nepal"
Radio Program Producer,"
                            Himal F.M","Salleri, Solukhumbu"
Clinical Research Fellow,"
                            Tilganga Institute of Opthalmology","Tilganga Institute of Ophthalmology, Kathmandu"
Research Trainee,"
                            Tilganga Institute of Opthalmology","Tilganga Institute of Ophthalmology, Kathmandu"
